StudentID,StudentName,Gender,Attendance,StudyHours,PreviousMarks,FinalMarks,Result
50,Rahul,Male,96.1,4,56.0,62.0,Fail
51,Neha,Female,85.4,7,80.0,78.0,Pass
52,Jyoti,Female,57.6,3,72.0,52.0,Fail
53,Simran,Female,78.8,3,88.0,65.0,Fail
54,Sakshi,Female,80.3,4,81.0,60.0,Fail
55,Priya,Female,71.2,3,63.0,57.0,Fail
56,Pooja,Female,86.8,5,96.0,72.0,Pass
57,Sunil,Male,96.7,6,91.0,81.0,Pass
58,Deepak,Male,96.3,5,83.0,77.0,Pass
59,Ankit,Male,72.5,4,73.0,65.0,Fail
60,Rohan,Male,55.7,6,69.0,54.0,Fail
61,Rahul,Male,99.2,8,79.0,74.0,Pass
62,Vikram,Male,91.9,6,90.0,79.0,Pass
63,Sakshi,Female,56.2,3,92.0,63.0,Fail
64,Vikram,Male,96.0,6,94.0,85.0,Pass
65,Ankit,Male,93.5,6,74.0,75.0,Pass
66,Simran,Female,75.9,3,62.0,55.0,Fail
67,Vikram,Male,79.6,4,76.0,67.0,Fail
68,Sneha,Female,70.0,1,51.0,43.0,Fail
69,Vikram,Male,52.7,3,76.0,53.0,Fail
70,Pooja,Female,66.8,4,74.0,60.0,Fail
71,Pooja,Female,90.1,4,70.0,70.0,Pass
72,Arjun,Male,50.2,5,61.0,59.0,Fail
73,Arjun,Male,66.7,2,76.0,56.0,Fail
74,Simran,Female,69.9,1,64.0,48.0,Fail
75,Priya,Female,76.9,4,63.0,60.0,Fail
76,Pooja,Female,96.0,7,52.0,66.0,Fail
77,Kriti,Female,67.3,6,79.0,64.0,Fail
78,Vijay,Male,67.3,3,91.0,61.0,Fail
79,Manish,Male,86.9,6,96.0,77.0,Pass
80,Rahul,Male,72.6,4,70.0,61.0,Fail
81,Simran,Female,61.2,3,67.0,50.0,Fail
82,Shweta,Female,72.6,5,82.0,70.0,Pass
83,Aditya,Male,57.0,4,65.0,52.0,Fail
84,Amit,Male,58.8,1,72.0,48.0,Fail
85,Manish,Male,74.9,6,87.0,70.0,Pass
86,Rahul,Male,70.9,6,91.0,71.0,Pass
87,Priya,Female,95.7,4,74.0,73.0,Pass
88,Kiran,Female,68.1,4,73.0,57.0,Fail
89,Preeti,Female,79.0,5,68.0,63.0,Fail
90,Aman,Male,81.6,5,69.0,65.0,Fail
91,Rohan,Male,50.7,2,69.0,42.0,Fail
92,Sakshi,Female,83.2,4,79.0,65.0,Fail
93,Kiran,Female,58.9,3,82.0,54.0,Fail
94,Sneha,Female,98.1,7,73.0,81.0,Pass
95,Divya,Female,57.4,4,90.0,61.0,Fail
96,Arjun,Male,70.7,3,70.0,57.0,Fail
97,Neha,Female,54.3,4,75.0,57.0,Fail
98,Ankit,Male,99.8,1,62.0,61.0,Fail
99,Ankit,Male,75.1,6,55.0,63.0,Fail
100,Rohit,Male,79.8,2,80.0,61.0,Fail
101,Raj,Male,53.4,2,78.0,51.0,Fail
102,Neha,Female,87.5,3,70.0,62.0,Fail
103,Rohan,Male,60.5,1,70.0,40.0,Fail
104,Priya,Female,94.9,7,86.0,81.0,Pass
105,Aarti,Female,60.3,2,55.0,50.0,Fail
106,Rohan,Male,59.5,3,68.0,54.0,Fail
107,Vikram,Male,51.8,2,79.0,52.0,Fail
108,Kriti,Female,73.6,5,64.0,65.0,Fail
109,Manish,Male,78.2,4,78.0,65.0,Fail
110,Raj,Male,53.3,1,55.0,41.0,Fail
111,Vijay,Male,88.8,6,84.0,74.0,Pass
112,Rahul,Male,72.7,3,73.0,58.0,Fail
113,Preeti,Female,76.2,2,55.0,54.0,Fail
114,Sakshi,Female,72.0,3,85.0,65.0,Fail
115,Sakshi,Female,70.0,6,72.0,64.0,Fail
116,Sneha,Female,78.0,5,69.0,63.0,Fail
117,Sakshi,Female,57.8,2,73.0,50.0,Fail
118,Vikram,Male,59.1,2,82.0,55.0,Fail
119,Pooja,Female,93.1,5,67.0,66.0,Fail
120,Kriti,Female,97.3,8,84.0,77.0,Pass
121,Neha,Female,68.7,4,79.0,60.0,Fail
122,Ritu,Female,63.5,4,82.0,56.0,Fail
123,Rohit,Male,82.2,6,81.0,71.0,Pass
124,Deepak,Male,70.4,4,71.0,59.0,Fail
125,Ankit,Male,51.3,2,63.0,43.0,Fail
126,Sunil,Male,57.8,3,74.0,57.0,Fail
127,Megha,Female,85.8,5,66.0,68.0,Fail
128,Neha,Female,82.9,4,46.0,58.0,Fail
129,Ankit,Male,51.4,4,79.0,56.0,Fail
130,Neha,Female,61.1,3,82.0,53.0,Fail
131,Aman,Male,61.6,4,51.0,53.0,Fail
132,Aman,Male,83.6,4,65.0,63.0,Fail
133,Manish,Male,51.0,3,79.0,54.0,Fail
134,Gaurav,Male,55.2,1,90.0,48.0,Fail
135,Ritu,Female,90.0,6,79.0,70.0,Pass
136,Rohit,Male,58.9,3,66.0,53.0,Fail
137,Sakshi,Female,82.6,6,77.0,72.0,Pass
138,Neha,Female,61.9,1,83.0,49.0,Fail
139,Amit,Male,55.0,6,73.0,56.0,Fail
140,Jyoti,Female,62.2,3,65.0,55.0,Fail
141,Aarti,Female,86.1,6,74.0,68.0,Fail
142,Rahul,Male,92.8,4,65.0,72.0,Pass
143,Sanjay,Male,91.5,6,80.0,73.0,Pass
144,Gaurav,Male,69.9,2,87.0,61.0,Fail
145,Rohan,Male,83.4,4,78.0,66.0,Fail
146,Manish,Male,60.2,6,76.0,64.0,Fail
147,Sneha,Female,64.7,3,70.0,53.0,Fail
148,Divya,Female,94.8,6,63.0,71.0,Pass
149,Rohit,Male,50.7,4,84.0,56.0,Fail
150,Rahul,Male,54.3,3,72.0,48.0,Fail
151,Pooja,Female,60.4,3,71.0,55.0,Fail
152,Aditya,Male,51.3,3,100.0,56.0,Fail
153,Amit,Male,59.1,7,84.0,66.0,Fail
154,Arjun,Male,79.2,4,67.0,59.0,Fail
155,Kiran,Female,71.1,4,71.0,52.0,Fail
156,Rahul,Male,94.6,7,92.0,82.0,Pass
157,Divya,Female,90.9,7,82.0,86.0,Pass
158,Priya,Female,67.1,5,63.0,61.0,Fail
159,Rohan,Male,63.0,4,84.0,60.0,Fail
160,Anjali,Female,69.0,2,64.0,51.0,Fail
161,Sanjay,Male,79.5,7,100.0,79.0,Pass
162,Pooja,Female,63.4,2,82.0,57.0,Fail
163,Neha,Female,81.2,5,73.0,63.0,Fail
164,Aarti,Female,70.5,3,86.0,65.0,Fail
165,Vikram,Male,77.6,4,76.0,66.0,Fail
166,Neha,Female,71.8,4,84.0,66.0,Fail
167,Aditya,Male,64.7,4,80.0,61.0,Fail
168,Manish,Male,97.4,6,71.0,75.0,Pass
169,Raj,Male,88.2,7,75.0,77.0,Pass
170,Ritu,Female,57.0,3,83.0,57.0,Fail
171,Preeti,Female,93.4,5,74.0,71.0,Pass
172,Raj,Male,74.4,5,73.0,62.0,Fail
173,Simran,Female,94.7,7,71.0,77.0,Pass
174,Gaurav,Male,90.0,3,77.0,71.0,Pass
175,Jyoti,Female,71.3,5,98.0,67.0,Fail
176,Deepak,Male,51.1,3,62.0,42.0,Fail
177,Sneha,Female,63.4,3,73.0,55.0,Fail
178,Sunil,Male,77.1,6,93.0,74.0,Pass
179,Sakshi,Female,81.7,4,74.0,65.0,Fail
180,Raj,Male,62.9,3,78.0,57.0,Fail
181,Ankit,Male,57.0,3,62.0,48.0,Fail
182,Sunil,Male,91.7,5,81.0,78.0,Pass
183,Kiran,Female,99.2,4,73.0,67.0,Fail
184,Anjali,Female,76.3,2,81.0,57.0,Fail
185,Sanjay,Male,58.6,5,89.0,62.0,Fail
186,Anjali,Female,63.6,2,97.0,55.0,Fail
187,Kiran,Female,50.9,1,75.0,45.0,Fail
188,Jyoti,Female,95.7,2,74.0,70.0,Pass
189,Simran,Female,55.9,2,73.0,49.0,Fail
190,Sunil,Male,78.8,2,67.0,57.0,Fail
191,Rohit,Male,63.7,6,82.0,61.0,Fail
192,Ritu,Female,77.7,6,76.0,67.0,Fail
193,Shweta,Female,82.6,3,75.0,62.0,Fail
194,Preeti,Female,91.5,8,96.0,84.0,Pass
195,Aman,Male,60.3,4,65.0,57.0,Fail
196,Aditya,Male,50.5,2,82.0,51.0,Fail
197,Divya,Female,56.8,1,82.0,47.0,Fail
198,Simran,Female,95.0,8,82.0,83.0,Pass
199,Simran,Female,93.7,3,52.0,62.0,Fail
200,Pooja,Female,79.9,2,65.0,60.0,Fail
201,Pooja,Female,80.0,6,92.0,79.0,Pass
202,Aman,Male,83.3,8,83.0,75.0,Pass
203,Rohan,Male,58.8,5,67.0,54.0,Fail
204,Divya,Female,95.7,6,74.0,72.0,Pass
205,Shweta,Female,70.9,5,85.0,66.0,Fail
206,Ankit,Male,69.2,5,82.0,66.0,Fail
207,Vikram,Male,75.9,5,75.0,68.0,Fail
208,Aarti,Female,52.3,3,69.0,49.0,Fail
209,Rahul,Male,58.3,3,69.0,51.0,Fail
210,Vikram,Male,86.9,5,68.0,68.0,Fail
211,Jyoti,Female,54.1,1,85.0,47.0,Fail
212,Megha,Female,80.2,4,72.0,70.0,Pass
213,Divya,Female,62.3,1,81.0,47.0,Fail
214,Manish,Male,69.5,3,88.0,62.0,Fail
215,Neha,Female,64.4,2,81.0,61.0,Fail
216,Rahul,Male,67.8,2,67.0,52.0,Fail
217,Manish,Male,86.0,5,81.0,71.0,Pass
218,Divya,Female,64.9,5,77.0,60.0,Fail
219,Shweta,Female,78.3,6,70.0,67.0,Fail
220,Ritu,Female,73.8,2,74.0,61.0,Fail
221,Jyoti,Female,83.2,3,61.0,52.0,Fail
222,Divya,Female,96.8,7,93.0,89.0,Pass
223,Vijay,Male,86.6,3,68.0,58.0,Fail
224,Gaurav,Male,60.7,3,75.0,53.0,Fail
225,Vijay,Male,51.6,3,76.0,50.0,Fail
226,Ankit,Male,63.1,2,68.0,52.0,Fail
227,Sakshi,Female,79.8,4,81.0,61.0,Fail
228,Sanjay,Male,52.6,1,64.0,44.0,Fail
229,Kriti,Female,74.8,3,82.0,68.0,Fail
230,Ritu,Female,79.8,5,64.0,60.0,Fail
231,Sakshi,Female,66.7,1,70.0,51.0,Fail
232,Preeti,Female,88.5,6,98.0,78.0,Pass
233,Shweta,Female,55.3,3,63.0,50.0,Fail
234,Rahul,Male,53.8,3,66.0,49.0,Fail
235,Arjun,Male,86.4,5,82.0,70.0,Pass
236,Anjali,Female,74.8,6,81.0,71.0,Pass
237,Rahul,Male,84.4,5,81.0,76.0,Pass
238,Sanjay,Male,71.7,3,78.0,59.0,Fail
239,Priya,Female,62.3,3,79.0,58.0,Fail
240,Rohit,Male,91.0,6,90.0,75.0,Pass
241,Shweta,Female,90.0,5,81.0,70.0,Pass
242,Anjali,Female,84.7,5,75.0,70.0,Pass
243,Sakshi,Female,63.6,2,78.0,58.0,Fail
244,Gaurav,Male,79.5,3,92.0,68.0,Fail
245,Gaurav,Male,68.0,1,68.0,49.0,Fail
246,Kiran,Female,54.6,5,67.0,54.0,Fail
247,Ankit,Male,95.9,4,86.0,70.0,Pass
248,Kriti,Female,56.8,2,70.0,51.0,Fail
249,Divya,Female,97.5,4,53.0,68.0,Fail
250,Megha,Female,72.3,5,85.0,66.0,Fail
251,Deepak,Male,59.3,3,68.0,50.0,Fail
252,Manish,Male,77.1,6,78.0,70.0,Pass
253,Kiran,Female,93.6,4,78.0,70.0,Pass
254,Aman,Male,86.6,5,79.0,71.0,Pass
255,Aditya,Male,90.3,4,82.0,77.0,Pass
256,Divya,Female,82.9,8,79.0,76.0,Pass
257,Kriti,Female,84.6,3,78.0,64.0,Fail
258,Ritu,Female,92.5,6,76.0,73.0,Pass
259,Kiran,Female,62.5,4,82.0,62.0,Fail
260,Rohit,Male,74.5,5,83.0,67.0,Fail
261,Sneha,Female,61.1,3,64.0,49.0,Fail
262,Simran,Female,99.4,5,88.0,83.0,Pass
263,Gaurav,Male,97.2,6,74.0,80.0,Pass
264,Sneha,Female,52.0,2,79.0,48.0,Fail
265,Kriti,Female,85.3,6,83.0,68.0,Fail
266,Ritu,Female,96.3,8,100.0,92.0,Pass
267,Sakshi,Female,59.0,2,69.0,47.0,Fail
268,Megha,Female,78.4,2,68.0,59.0,Fail
269,Aditya,Male,95.8,5,77.0,68.0,Fail
270,Aman,Male,51.7,6,76.0,61.0,Fail
271,Divya,Female,84.9,3,81.0,62.0,Fail
272,Aarti,Female,64.9,6,63.0,62.0,Fail
273,Simran,Female,96.2,8,72.0,80.0,Pass
274,Simran,Female,98.6,5,66.0,69.0,Fail
275,Sakshi,Female,97.2,6,89.0,79.0,Pass
276,Preeti,Female,73.7,6,96.0,75.0,Pass
277,Jyoti,Female,93.1,5,76.0,73.0,Pass
278,Sneha,Female,92.2,5,75.0,74.0,Pass
279,Pooja,Female,66.0,3,74.0,62.0,Fail
280,Megha,Female,91.4,4,87.0,68.0,Fail
281,Divya,Female,51.9,1,60.0,46.0,Fail
282,Deepak,Male,79.8,2,73.0,59.0,Fail
283,Vijay,Male,61.5,3,83.0,54.0,Fail
284,Rahul,Male,56.0,2,76.0,46.0,Fail
285,Sneha,Female,53.8,3,75.0,51.0,Fail
286,Ankit,Male,84.8,2,81.0,66.0,Fail
287,Arjun,Male,67.0,4,48.0,51.0,Fail
288,Kriti,Female,86.2,6,86.0,80.0,Pass
289,Rohan,Male,53.3,1,62.0,40.0,Fail
290,Jyoti,Female,65.8,4,57.0,53.0,Fail
291,Rahul,Male,77.0,6,84.0,67.0,Fail
292,Aditya,Male,89.5,3,87.0,71.0,Pass
293,Anjali,Female,65.9,6,78.0,67.0,Fail
294,Vijay,Male,81.3,5,87.0,70.0,Pass
295,Amit,Male,94.3,4,91.0,67.0,Fail
296,Divya,Female,80.8,4,88.0,69.0,Fail
297,Simran,Female,61.6,4,91.0,63.0,Fail
298,Vijay,Male,51.2,3,80.0,53.0,Fail
299,Shweta,Female,93.5,6,80.0,80.0,Pass
300,Aman,Male,51.1,1,53.0,40.0,Fail
301,Gaurav,Male,93.7,6,77.0,78.0,Pass
302,Anjali,Female,76.4,2,63.0,58.0,Fail
303,Sakshi,Female,97.0,5,99.0,76.0,Pass
304,Aarti,Female,89.9,4,73.0,69.0,Fail
305,Neha,Female,99.9,5,78.0,74.0,Pass
306,Sakshi,Female,67.5,5,83.0,64.0,Fail
307,Kiran,Female,88.4,7,81.0,78.0,Pass
308,Sanjay,Male,70.1,5,94.0,67.0,Fail
309,Priya,Female,74.0,2,65.0,52.0,Fail
310,Rohan,Male,81.4,4,77.0,66.0,Fail
311,Rohit,Male,93.7,7,74.0,74.0,Pass
312,Arjun,Male,99.2,6,66.0,71.0,Pass
313,Vijay,Male,88.4,8,77.0,81.0,Pass
314,Pooja,Female,70.9,4,75.0,57.0,Fail
315,Aarti,Female,71.1,4,71.0,62.0,Fail
316,Anjali,Female,86.9,4,68.0,67.0,Fail
317,Arjun,Male,61.9,3,59.0,45.0,Fail
318,Sunil,Male,55.5,2,70.0,46.0,Fail
319,Aman,Male,67.7,5,62.0,62.0,Fail
320,Raj,Male,64.4,5,85.0,61.0,Fail
321,Kiran,Female,64.8,2,72.0,51.0,Fail
322,Ritu,Female,61.7,1,54.0,45.0,Fail
323,Shweta,Female,52.1,1,66.0,45.0,Fail
324,Ankit,Male,50.9,3,65.0,47.0,Fail
325,Pooja,Female,99.4,4,78.0,71.0,Pass
326,Jyoti,Female,71.4,1,82.0,60.0,Fail
327,Priya,Female,69.2,4,56.0,60.0,Fail
328,Pooja,Female,84.0,8,84.0,82.0,Pass
329,Ankit,Male,60.9,3,71.0,53.0,Fail
330,Vikram,Male,97.5,7,88.0,80.0,Pass
331,Ankit,Male,89.3,5,79.0,69.0,Fail
332,Aarti,Female,54.5,2,63.0,47.0,Fail
333,Deepak,Male,70.9,5,74.0,64.0,Fail
334,Sunil,Male,94.0,5,69.0,75.0,Pass
335,Amit,Male,97.2,6,90.0,83.0,Pass
336,Manish,Male,73.4,4,75.0,57.0,Fail
337,Ritu,Female,80.7,3,92.0,71.0,Pass
338,Kriti,Female,58.4,4,74.0,53.0,Fail
339,Manish,Male,99.6,5,70.0,72.0,Pass
340,Manish,Male,61.6,2,56.0,47.0,Fail
341,Gaurav,Male,97.1,6,61.0,78.0,Pass
342,Sanjay,Male,82.5,3,57.0,67.0,Fail
343,Deepak,Male,80.4,4,78.0,67.0,Fail
344,Vijay,Male,75.6,4,80.0,64.0,Fail
345,Deepak,Male,61.5,5,61.0,57.0,Fail
346,Simran,Female,58.8,4,84.0,61.0,Fail
347,Simran,Female,61.0,3,68.0,51.0,Fail
348,Gaurav,Male,59.3,4,76.0,62.0,Fail
349,Sanjay,Male,89.0,7,97.0,83.0,Pass
350,Pooja,Female,67.5,4,84.0,64.0,Fail
351,Anjali,Female,52.9,3,70.0,52.0,Fail
352,Kiran,Female,98.5,4,66.0,70.0,Pass
353,Sakshi,Female,94.2,4,53.0,66.0,Fail
354,Ankit,Male,96.4,5,70.0,70.0,Pass
355,Aman,Male,99.7,5,75.0,73.0,Pass
356,Anjali,Female,58.7,3,63.0,47.0,Fail
357,Rohan,Male,69.8,4,74.0,61.0,Fail
358,Ritu,Female,87.9,6,80.0,77.0,Pass
359,Anjali,Female,84.8,5,75.0,70.0,Pass
360,Sakshi,Female,57.7,4,68.0,59.0,Fail
361,Ankit,Male,90.8,5,79.0,72.0,Pass
362,Aarti,Female,61.2,1,73.0,51.0,Fail
363,Rahul,Male,61.2,2,60.0,44.0,Fail
364,Kriti,Female,76.8,4,89.0,66.0,Fail
365,Kiran,Female,79.6,2,70.0,60.0,Fail
366,Ankit,Male,79.0,5,77.0,70.0,Pass
367,Simran,Female,54.6,5,84.0,59.0,Fail
368,Kriti,Female,93.9,7,83.0,80.0,Pass
369,Vijay,Male,63.3,3,83.0,53.0,Fail
370,Aman,Male,56.5,5,80.0,58.0,Fail
371,Gaurav,Male,94.4,6,73.0,77.0,Pass
372,Raj,Male,97.8,5,81.0,78.0,Pass
373,Sanjay,Male,93.1,4,64.0,68.0,Fail
374,Divya,Female,90.5,5,78.0,72.0,Pass
375,Rohit,Male,82.8,4,75.0,66.0,Fail
376,Aditya,Male,77.5,4,73.0,61.0,Fail
377,Megha,Female,54.3,3,72.0,53.0,Fail
378,Vikram,Male,70.4,4,56.0,56.0,Fail
379,Aarti,Female,68.6,4,70.0,60.0,Fail
380,Arjun,Male,63.0,5,78.0,60.0,Fail
381,Ankit,Male,86.2,6,81.0,67.0,Fail
382,Anjali,Female,74.8,2,61.0,57.0,Fail
383,Simran,Female,54.1,1,82.0,47.0,Fail
384,Anjali,Female,61.0,4,66.0,52.0,Fail
385,Priya,Female,84.2,3,83.0,68.0,Fail
386,Anjali,Female,53.8,2,75.0,48.0,Fail
387,Rahul,Male,92.6,3,67.0,68.0,Fail
388,Rohan,Male,74.8,1,87.0,60.0,Fail
389,Sakshi,Female,74.0,5,65.0,64.0,Fail
390,Priya,Female,79.6,5,86.0,66.0,Fail
391,Divya,Female,91.2,4,85.0,76.0,Pass
392,Manish,Male,67.4,1,62.0,49.0,Fail
393,Sunil,Male,83.9,4,89.0,69.0,Fail
394,Aarti,Female,78.3,5,74.0,66.0,Fail
395,Vikram,Male,63.4,1,72.0,44.0,Fail
396,Kriti,Female,93.9,6,82.0,78.0,Pass
397,Ritu,Female,89.9,5,76.0,68.0,Fail
398,Gaurav,Male,82.9,5,85.0,67.0,Fail
399,Anjali,Female,92.5,5,85.0,70.0,Pass
400,Shweta,Female,93.4,4,58.0,68.0,Fail
401,Raj,Male,85.4,6,92.0,75.0,Pass
402,Simran,Female,91.9,5,60.0,72.0,Pass
403,Priya,Female,84.9,5,87.0,71.0,Pass
404,Aarti,Female,84.0,3,84.0,61.0,Fail
405,Aman,Male,80.9,4,64.0,58.0,Fail
406,Kiran,Female,87.6,4,71.0,70.0,Pass
407,Arjun,Male,57.9,3,62.0,49.0,Fail
408,Vikram,Male,94.0,8,81.0,80.0,Pass
409,Sneha,Female,93.6,3,70.0,66.0,Fail
410,Arjun,Male,51.5,1,77.0,48.0,Fail
411,Rohan,Male,91.3,7,94.0,86.0,Pass
412,Neha,Female,56.4,2,85.0,57.0,Fail
413,Shweta,Female,66.8,2,65.0,50.0,Fail
414,Kiran,Female,87.2,6,77.0,69.0,Fail
415,Neha,Female,58.0,2,54.0,43.0,Fail
416,Amit,Male,90.9,8,75.0,80.0,Pass
417,Rahul,Male,91.6,6,89.0,75.0,Pass
418,Gaurav,Male,75.4,3,89.0,61.0,Fail
419,Pooja,Female,50.3,6,67.0,56.0,Fail
420,Jyoti,Female,64.4,2,65.0,50.0,Fail
421,Priya,Female,80.8,6,79.0,71.0,Pass
422,Jyoti,Female,99.1,6,82.0,77.0,Pass
423,Raj,Male,81.6,6,71.0,68.0,Fail
424,Gaurav,Male,63.0,6,83.0,62.0,Fail
425,Sanjay,Male,81.7,4,70.0,66.0,Fail
426,Aarti,Female,77.0,3,73.0,63.0,Fail
427,Deepak,Male,89.0,6,84.0,70.0,Pass
428,Simran,Female,55.3,2,71.0,46.0,Fail
429,Manish,Male,88.1,8,79.0,74.0,Pass
430,Gaurav,Male,77.1,4,74.0,61.0,Fail
431,Rahul,Male,98.1,5,76.0,74.0,Pass
432,Pooja,Female,67.1,4,71.0,54.0,Fail
433,Kriti,Female,81.6,2,68.0,55.0,Fail
434,Rohan,Male,96.6,4,91.0,73.0,Pass
435,Rohan,Male,55.1,4,81.0,57.0,Fail
436,Neha,Female,96.9,4,72.0,71.0,Pass
437,Manish,Male,84.4,3,80.0,63.0,Fail
438,Pooja,Female,53.4,3,70.0,50.0,Fail
439,Kiran,Female,65.0,5,89.0,64.0,Fail
440,Raj,Male,85.4,6,83.0,73.0,Pass
441,Vijay,Male,53.4,4,74.0,59.0,Fail
442,Neha,Female,79.1,3,77.0,66.0,Fail
443,Rohan,Male,67.3,1,53.0,41.0,Fail
444,Rohit,Male,81.0,7,70.0,73.0,Pass
445,Simran,Female,52.3,2,59.0,46.0,Fail
446,Priya,Female,93.6,5,78.0,70.0,Pass
447,Kiran,Female,98.7,8,100.0,92.0,Pass
448,Preeti,Female,98.4,6,100.0,89.0,Pass
449,Ankit,Male,87.5,6,85.0,72.0,Pass
450,Rohan,Male,56.5,6,84.0,60.0,Fail
451,Preeti,Female,87.9,4,57.0,65.0,Fail
452,Shweta,Female,51.2,4,70.0,52.0,Fail
453,Sanjay,Male,51.1,2,63.0,46.0,Fail
454,Ritu,Female,66.2,4,69.0,58.0,Fail
455,Vijay,Male,74.4,6,77.0,69.0,Fail
456,Vikram,Male,88.5,6,74.0,69.0,Fail
457,Manish,Male,84.2,5,57.0,66.0,Fail
458,Rohan,Male,72.3,5,84.0,70.0,Pass
459,Manish,Male,63.7,3,62.0,51.0,Fail
460,Rohit,Male,99.9,4,77.0,73.0,Pass
461,Vikram,Male,71.3,2,92.0,57.0,Fail
462,Pooja,Female,72.6,1,60.0,51.0,Fail
463,Pooja,Female,58.2,6,54.0,56.0,Fail
464,Simran,Female,89.7,3,70.0,64.0,Fail
465,Ritu,Female,84.7,4,86.0,73.0,Pass
466,Manish,Male,61.0,3,93.0,59.0,Fail
467,Arjun,Male,54.1,3,61.0,49.0,Fail
468,Kriti,Female,84.0,6,84.0,71.0,Pass
469,Amit,Male,82.7,6,74.0,70.0,Pass
470,Jyoti,Female,63.7,2,70.0,51.0,Fail
471,Aditya,Male,97.5,5,100.0,82.0,Pass
472,Divya,Female,57.6,3,58.0,47.0,Fail
473,Vijay,Male,71.6,3,76.0,59.0,Fail
474,Neha,Female,97.2,8,88.0,88.0,Pass
475,Kiran,Female,71.0,4,86.0,63.0,Fail
476,Kiran,Female,81.9,6,80.0,67.0,Fail
477,Deepak,Male,69.9,5,80.0,70.0,Pass
478,Kiran,Female,63.7,5,73.0,64.0,Fail
479,Kriti,Female,99.2,6,82.0,75.0,Pass
480,Preeti,Female,70.5,2,68.0,56.0,Fail
481,Simran,Female,94.7,6,85.0,77.0,Pass
482,Shweta,Female,61.5,2,67.0,50.0,Fail
483,Ankit,Male,60.7,2,75.0,53.0,Fail
484,Priya,Female,51.6,3,73.0,49.0,Fail
485,Sneha,Female,82.6,6,90.0,73.0,Pass
486,Sakshi,Female,68.4,4,74.0,57.0,Fail
487,Gaurav,Male,93.2,6,61.0,68.0,Fail
488,Rahul,Male,73.7,6,92.0,70.0,Pass
489,Jyoti,Female,98.4,6,70.0,75.0,Pass
490,Priya,Female,59.3,7,74.0,61.0,Fail
491,Rahul,Male,93.4,6,73.0,76.0,Pass
492,Sakshi,Female,88.8,2,85.0,70.0,Pass
493,Deepak,Male,88.5,6,58.0,66.0,Fail
494,Aman,Male,92.2,6,100.0,83.0,Pass
495,Manish,Male,88.1,7,92.0,82.0,Pass
496,Vikram,Male,81.3,5,79.0,70.0,Pass
497,Kiran,Female,56.6,3,72.0,52.0,Fail
498,Sanjay,Male,51.6,1,72.0,47.0,Fail
499,Simran,Female,96.0,5,82.0,77.0,Pass
